state,metric
Andhra Pradesh,4%
Arunachal Pradesh,0%
Assam,1%
Bihar,2%
Chandigarh,0%
Chhattisgarh,1%
Dadra and Nagar Haveli,0%
Daman and Diu,0%
NCT of Delhi,6%
Goa,1%
Gujarat,4%
Haryana,3%
Himachal Pradesh,0%
Jammu and Kashmir,0%
Jharkhand,1%
Karnataka,14%
Kerala,5%
Madhya Pradesh,2%
Maharashtra,14%
Meghalaya,0%
Mizoram,0%
Nagaland,0%
Odisha,2%
Puducherry,0%
Punjab,2%
Rajasthan,2%
Sikkim,0%
Tamil Nadu,11%
Telangana,5%
Tripura,0%
Uttar Pradesh,7%
Uttarakhand,1%
West Bengal,10%
