utilization,color
0,#800000
1,#800000
2,#800000
3,#800000
4,#800000
5,#800000
6,#800000
7,#800000
8,#800000
9,#800000
10,#800000
11,#8B0000
12,#8B0000
13,#8B0000
14,#8B0000
15,#8B0000
16,#8B0000
17,#8B0000
18,#8B0000
19,#8B0000
20,#8B0000
21,#8B0000
22,#8B0000
23,#8B0000
24,#8B0000
25,#8B0000
26,#8B0000
27,#8B0000
28,#8B0000
29,#8B0000
30,#8B0000
31,#FF0000
32,#FF0000
33,#FF0000
34,#FF0000
35,#FF0000
36,#FF0000
37,#FF0000
38,#FF0000
39,#FF0000
40,#FF0000
41,#FF0000
42,#FF0000
43,#FF0000
44,#FF0000
45,#FF0000
46,#FF0000
47,#FF0000
48,#FF0000
49,#FF0000
50,#FF0000
51,#FF0000
52,#FF0000
53,#FF0000
54,#FF0000
55,#FF0000
56,#FF0000
57,#FF0000
58,#FF0000
59,#FF0000
60,#FF0000
61,#FF0000
62,#FF0000
63,#FF0000
64,#FF0000
65,#FF0000
66,#FF0000
67,#FF0000
68,#FF0000
69,#FF0000
70,#FF0000
71,#FF3300
72,#FF3300
73,#FF3300
74,#FF3300
75,#FF3300
76,#FF3300
77,#FF3300
78,#FF3300
79,#FF3300
80,#FF3300
81,#FF3300
82,#FF3300
83,#FF6600
84,#FF6600
85,#FF6600
86,#FF6600
87,#FFCC00
88,#FFCC00
89,#FFCC00
90,#FFCC00
91,#FFFF00
92,#FFFF00
93,#FFFF00
94,#CCFF00
95,#CCFF00
96,#99FF00
97,#99FF00
98,#66FF00
99,#33FF00
100,#00FF00
101,#00FF00
102,#00FF00
103,#00FF00
104,#00FF99
105,#00FF99
106,#00FF99
107,#00CCCC
108,#00CCCC
109,#0099CC
110,#0099CC
111,#0099CC
112,#0066CC
113,#0066CC
114,#0066CC
115,#0033CC
116,#0033CC
117,#0033CC
118,#0000CC
119,#0000CC
120,#0000CC
121,#0000CC
122,#0000CC
123,#0000CC
124,#0000CC
125,#0000CC
126,#0000CC
127,#0000CC
128,#0000CC
129,#0000CC
130,#0000CC
131,#0000CC
132,#0000CC
133,#0000CC
134,#0000CC
135,#0000CC
136,#0000CC
137,#0000CC
138,#0000CC
139,#0000CC
140,#0000CC
141,#0000CC
142,#0000CC
143,#0000CC
144,#0000CC
145,#0000CC
146,#0000CC
147,#0000CC
148,#0000CC
149,#0000CC
150,#0000CC
151,#0000CC
152,#0000CC
153,#0000CC
154,#0000CC
155,#0000CC
156,#0000CC
157,#0000CC
158,#0000CC
159,#0000CC
160,#0000CC
161,#0000CC
162,#0000CC
163,#0000CC
164,#0000CC
165,#0000CC
166,#0000CC
167,#0000CC
168,#0000CC
169,#0000CC
170,#0000CC
171,#0000CC
172,#0000CC
173,#0000CC
174,#0000CC
175,#0000CC
176,#0000CC
177,#0000CC
178,#0000CC
179,#0000CC
180,#0000CC
181,#0000CC
182,#0000CC
183,#0000CC
184,#0000CC
185,#0000CC
186,#0000CC
187,#0000CC
188,#0000CC
189,#0000CC
190,#0000CC
191,#0000CC
192,#0000CC
193,#0000CC
194,#0000CC
195,#0000CC
196,#0000CC
197,#0000CC
198,#0000CC
199,#0000CC
200,#0000CC
201,#0000CC
202,#0000CC
203,#0000CC
204,#0000CC
205,#0000CC
206,#0000CC
207,#0000CC
208,#0000CC
209,#0000CC
210,#0000CC
211,#0000CC
212,#0000CC
213,#0000CC
214,#0000CC
215,#0000CC
216,#0000CC
217,#0000CC
218,#0000CC
219,#0000CC
220,#0000CC
221,#0000CC
222,#0000CC
223,#0000CC
224,#0000CC
225,#0000CC
226,#0000CC
227,#0000CC
228,#0000CC
229,#0000CC
230,#0000CC
231,#0000CC
232,#0000CC
233,#0000CC
234,#0000CC
235,#0000CC
236,#0000CC
237,#0000CC
238,#0000CC
239,#0000CC
240,#0000CC
241,#0000CC
242,#0000CC
243,#0000CC
244,#0000CC
245,#0000CC
246,#0000CC
247,#0000CC
248,#0000CC
249,#0000CC
250,#0000CC
