city,latitude,longitude
AGRA,27.2102,78.0446
AHMEDABAD,31.3589,75.9751
ALLAHABAD,25.6843,83.1241
AMER,26.9416,76.7194
AMRITSAR,31.5819,74.7207
ASANSOL,24.6504,86.6112
AURANGABAD,24.1474,84.2156
BANGALORE,13.336,77.6376
BANGALORE NORTH,13.0494,77.6508
BANGALORE SOUTH,13.5237,76.4952
BARODA,26.2208,79.6283
BHOPAL,25.3615,79.475
CHANDIGARH,30.658,76.8065
CHENNAI,13.0797,80.2244
COCHIN,9.9671,76.3031
COIMBATORE,11.0055,76.9661
DHANBAD,27.4455,81.6748
ERNAKULAM,10.0164,76.3417
FARIDABAD,27.9775,78.1256
GANDHINAGAR,22.3984,78.1126
GAUTAM BUDDHA NAGAR,26.1409,77.4774
GHAZIABAD,27.4616,78.1611
GURGAON,28.3531,76.9404
GWALIOR,26.4333,78.3102
HOWRAH,23.5899,87.276
HYDERABAD,17.4202,78.416
INDORE,23.4735,78.4373
JABALPUR,23.1127,79.9215
JAIPUR,24.8884,72.8479
JAMSHEDPUR,25.4461,85.4554
JODHPUR,25.4782,73.2895
Kalyan,20.64,75.4985
KANPUR,26.7464,79.3908
KOCHI,25.7746,82.613
KOLKATA,22.5667,88.35
KOLKATTA,23.9066,86.0838
KOLLAM,11.5921,75.7915
KOTA,25.1825,75.8391
KOZHIKODE,11.2626,75.8796
LUCKNOW,27.2588,80.257
LUDHIANA,31.3964,75.0725
MADURAI,9.8231,77.9838
MALAPPURAM,11.0637,76.2759
MALAPURAM,11.1339,76.3059
MEERUT,28.5225,78.0498
MUMBAI,19.3113,73.5843
NAGPUR,21.1555,79.0909
NASHIK,20.7769,77.0037
NAVI MUMBAI,19.4009,74.2375
NEW DELHI,28.5878,77.2541
NOIDA,27.6306,77.9682
PATNA,25.3885,85.4912
PATNA SADAR,25.6926,78.9669
PUNE,26.3932,76.6334
RAIPUR,20.3087,83.5332
RAJKOT,23.0107,72.4235
RANCHI,24.5539,82.3474
SANGANER,26.8585,76.3218
SRINAGAR,34.1286,74.8108
SURAT,23.4158,76.8568
THANE,21.3299,72.6248
THRISSUR,11.456,75.6734
TIRUCHIRAPPALLI,18.6609,84.3631
TRIVANDRUM,8.4681,76.9526
VADODARA,23.5493,75.5985
VARANASI,25.8851,82.4951
VIJAYAWADA,16.91,80.1029
VISAKHAPATNAM,17.8919,81.9766
VISHAKHAPATNAM,20.886,79.167
